nfevs,energy,std
89,-3.441162109375,0.023252013900004313
90,-3.744140625,0.023671526567960385
91,-3.921630859375,0.02438500575140542
92,-4.066162109375,0.023992971957234484
93,-3.927001953125,0.024654629464308835
94,-4.37841796875,0.02424669565358592
95,-3.482421875,0.025001100985304336
96,-3.088623046875,0.024951312170058842
97,-4.211669921875,0.024321872503602765
98,-4.06494140625,0.024567003129120826
99,-4.577392578125,0.023914713437492272
100,-4.35595703125,0.024793503604947118
101,-4.39892578125,0.024390905544027987
102,-4.2861328125,0.02451172250200524
103,-4.599609375,0.024484565977253694
104,-4.6513671875,0.024520687679396934
105,-4.69287109375,0.024805706284375457
106,-4.81982421875,0.024258239998310057
107,-4.25048828125,0.024573150805429354
108,-4.38671875,0.02506440851146194
109,-4.396728515625,0.024724984310614945
110,-4.50048828125,0.024446389432563224
111,-5.982421875,0.025687821297770926
112,-4.277587890625,0.024847945863162905
113,3.84033203125,0.02815979213546334
114,3.472412109375,0.028105316312364428
115,1.52587890625,0.02589020589212365
116,1.162353515625,0.026450705862122177
117,-0.458251953125,0.02851481530176112
118,-0.46484375,0.027560583457790035
119,0.230712890625,0.02777628789253006
120,-0.540771484375,0.027504635973353
121,-9.37548828125,0.02388791541315156
122,-8.6689453125,0.024186897818560076
123,-7.14013671875,0.024495579706222913
124,-4.877685546875,0.02331470123558598
125,3.063232421875,0.02793773796599294
126,3.369140625,0.028413254225528012
127,1.728271484375,0.027010264481534443
128,1.34765625,0.02681019174092298
129,-1.4453125,0.024924997235779144
130,-0.82177734375,0.025247580985102634
131,-3.494873046875,0.023904874529564253
132,-3.45751953125,0.023391235592821632
133,-3.368896484375,0.023589151392850064
134,-3.515380859375,0.023838438399188037
135,-3.8330078125,0.023786419921747858
136,-3.4990234375,0.02361863273445819
137,-4.25634765625,0.02358290864088445
138,-4.38232421875,0.02387006235787463
139,-4.38525390625,0.023787137827800224
140,-4.112548828125,0.024087821156220383
141,-4.092529296875,0.02341680611228515
142,-4.021728515625,0.023278032810899914
143,-3.658935546875,0.023753745184976145
144,-3.801025390625,0.023340608494367348
145,-4.00830078125,0.02305924609647416
146,-3.990234375,0.022482027642746576
147,-3.89990234375,0.023012426448326292
148,-4.041259765625,0.02318276481772938
149,-4.280517578125,0.023441214363373836
150,-4.270263671875,0.023062832404546083
151,-4.414306640625,0.023065450143293233
152,-4.29345703125,0.022890466894065136
153,-4.4765625,0.02358635679202725
154,-4.33544921875,0.023083587363378878
155,-4.2451171875,0.02352947699811224
156,-4.789306640625,0.02296031006356499
157,-4.813232421875,0.025112424669636476
158,-4.36279296875,0.02549864157175307
159,-4.771728515625,0.024709686667976336
160,-4.63671875,0.02410307222580891
161,-5.27685546875,0.02417055253207934
