Iteration,Score,Parameter Values
20,0.5121318181420188,"[ -3.42005862  12.2811242   20.2591449   -2.99142196   1.24717983
  -0.86243532  20.19492976  -2.559306     6.93406318  -9.70494631
  13.08429918  -9.43317188  -7.09308407 -14.87369332   6.57068972
  11.53407513   8.50167128  12.46514314   9.61577857   1.14617671
   1.67837136 -13.64481406   9.02960324   0.93842148 -11.80118077
  -5.83384734  13.41594496  17.17409693  -9.4370343   -9.1783466
   5.38135302  -4.981999    -8.78232103   6.30944835  -3.46176624
   7.10622128  -2.11493692   0.49257444  -4.0315526    2.4859085
   7.12466595   6.72524552   8.04800275  10.93734385  -4.69118375
 -14.2237459    5.76525765  -9.31769877  -5.60632164 -12.22526536
   5.29272906   8.63808895   0.67462489  -4.03389901 -19.38055687
  -3.50535022   8.37871725 -23.48258338  12.69777487]"
21,0.4779345162612103,"[1.79410561 2.01903485 1.8974152  1.10358397 2.21394622 1.31185784
 1.64965767 0.85299891 1.16167295 1.66738168 1.87921208 1.72990904
 1.27789308 1.91554379 1.06515864 1.32515689 1.89878723 1.52005986
 1.80043085 1.39438791 1.89724847 1.22315449 1.77868761 1.1045657
 1.47817713 1.37604533 2.25248215 2.46244107 1.76555067 1.68277746
 1.39647162 2.20672357 1.39360344 2.8764122  1.68956339 1.51514646
 1.66311547 1.29605534 1.6630781  1.61385091 1.23722957 1.7227452
 2.00545018 1.80368807 1.61952415 1.82164478 2.18982475 1.0417555
 1.54532716 1.02485271 1.97100894 1.11300317 1.42192198 1.58224662
 0.96574631 1.70219486 2.20958172 1.01597414 1.75550505]"
22,0.47927510398125855,"[1.8094428  1.89950741 1.8436205  1.1015337  2.18301085 1.34218379
 1.49152863 0.93394693 0.98188526 1.95825444 1.61684056 1.84398981
 1.20721578 2.08186858 1.0584739  1.15530594 1.98263794 1.48083885
 1.62054123 1.34766095 1.78540188 1.28663638 1.62271651 1.24568831
 1.64255847 1.33845716 2.20606767 2.45988623 1.92058946 1.80912323
 1.30095905 2.26931625 1.55621915 2.8137608  1.44933607 1.48670482
 1.72672214 1.46860121 1.64005011 1.54861949 1.0188721  1.59764762
 2.02007989 1.58570655 1.53885941 1.78838016 2.29131192 1.08664096
 1.62521514 1.14960079 1.72265547 1.21169288 1.42353854 1.72684595
 1.02373178 1.68982113 2.09613746 1.22913283 1.71301447]"
23,0.47773064441073715,"[1.81408185 1.92164328 1.82097539 1.10526683 2.1992994  1.30783006
 1.65300828 0.76968498 1.14597082 1.72414198 1.90999619 1.79743559
 1.32312274 1.95179495 1.08006872 1.22731111 1.90817237 1.47740909
 1.82952022 1.34900268 1.89357392 1.25057735 1.78595041 1.02366623
 1.4315392  1.42704975 2.28634798 2.32012351 1.7283085  1.77061646
 1.47660005 2.22628999 1.43280127 2.81106361 1.71697153 1.48408029
 1.70505381 1.3017651  1.64590771 1.59584548 1.18751117 1.65131244
 1.99352758 1.79625046 1.59796556 1.81132502 2.18615281 1.16746567
 1.58641663 1.04694139 1.91427414 1.16687506 1.4307869  1.60326218
 1.12385363 1.73881164 2.13472157 1.05926664 1.71385604]"
24,0.47777445081639736,"[1.84898198 1.95891004 1.83163697 1.10916876 2.23366158 1.41398529
 1.68785607 0.71903613 1.17311847 1.6515567  1.95383937 1.69040873
 1.41575642 1.86862074 1.03431872 1.15485838 1.90993823 1.41491217
 1.88635426 1.33616105 1.90035712 1.26177807 1.7973816  1.15134507
 1.31380879 1.53301574 2.22429587 2.27636988 1.79370847 1.60115177
 1.44199268 2.37533577 1.33743375 2.71884995 1.8744857  1.53868379
 1.7955032  1.40687242 1.64026198 1.44043382 1.12509999 1.63267035
 2.02493088 1.68154277 1.52123019 1.79944502 2.1393794  1.32845065
 1.56076779 1.05250772 1.96385073 1.16273721 1.49333422 1.59126428
 1.30029371 1.52356375 2.04229707 1.24524838 1.66190427]"
25,0.47786532328141407,"[1.83590673 1.87193728 1.77200741 1.06304141 2.17128403 1.29320688
 1.65375618 0.78139357 1.15974404 1.73847014 1.89748377 1.81343252
 1.32859167 1.96165816 1.07422335 1.22810177 1.89241465 1.47981538
 1.81446104 1.36303116 1.84743898 1.27652255 1.78047794 1.01529043
 1.43086839 1.40663103 2.27180385 2.27806951 1.70983192 1.77703382
 1.46208244 2.22910316 1.4381428  2.7806112  1.65477458 1.48857643
 1.69733739 1.30670852 1.65111371 1.58890608 1.19501439 1.66291917
 1.9865715  1.83175519 1.60012433 1.80602024 2.19602634 1.178058
 1.55779253 1.06254276 1.96362752 1.18189604 1.4387345  1.59348202
 1.10372976 1.75878239 2.1043707  1.02448136 1.73346016]"
26,0.47809683080836085,"[2.65344225 2.26515818 2.21960546 0.82006315 2.41357218 1.07236794
 1.56927169 1.34510229 0.50285469 1.48505207 1.70684672 3.02207332
 2.08772742 1.27803921 1.47966863 1.70806674 2.0508706  1.27870261
 1.30870766 1.11216679 2.2055135  1.42895282 1.5524659  0.44078307
 1.62852721 1.6634407  2.16172063 2.34480353 1.74860402 1.38392971
 1.36573467 2.04855526 1.60877355 3.43617508 2.33339043 2.02331155
 0.6884131  0.70493327 2.09481954 1.68294504 1.60459642 1.34525334
 2.23856911 1.16541025 1.66211853 1.84387989 1.50847325 0.93877409
 2.58159446 0.74991469 1.68775576 0.0046587  1.60401612 0.23283558
 1.35023096 2.19595381 2.60966088 1.29939235 2.17567608]"
27,0.4769952133486283,"[1.81338433 1.86447017 1.74488347 1.20264607 2.11411696 1.34568917
 1.62608015 0.71619478 1.19965136 1.77957901 1.9237144  1.65549057
 1.27012262 2.02078234 1.06753543 1.23258314 1.94666219 1.51606618
 1.85137913 1.33978051 1.92000439 1.2317662  1.86218453 1.07206
 1.38967441 1.29111509 2.35369539 2.2221794  1.78006238 1.89658756
 1.46561944 2.2433501  1.48778546 2.69023046 1.6140647  1.47299154
 1.73159832 1.41045872 1.69282574 1.51731295 1.09924405 1.66870315
 1.93114699 1.87549896 1.58672075 1.85951894 2.21800775 1.17885768
 1.45921816 1.07177101 1.95636444 1.3077233  1.41919033 1.75040736
 1.10197451 1.74631465 2.02424332 1.08397328 1.72170125]"
28,0.47686270936361935,"[1.75522382 1.82220093 1.69517998 1.23222775 2.07594184 1.35989294
 1.63051597 0.65447397 1.24210822 1.83072437 1.92838909 1.53432879
 1.20198048 2.10202512 1.02074738 1.17689927 1.9229284  1.50405971
 1.88398548 1.32541067 1.86924875 1.24080205 1.91817205 1.13268905
 1.40768149 1.24297574 2.39313448 2.1629126  1.77248931 1.96406023
 1.43422192 2.26017298 1.47273225 2.61568424 1.48082231 1.41650077
 1.8739909  1.49219621 1.65693448 1.49949703 1.02972055 1.70375884
 1.88349533 1.93525788 1.56985417 1.86651356 2.26759608 1.22582776
 1.35409413 1.1589609  1.96056986 1.46683519 1.40596048 1.89655483
 1.06158179 1.68949418 1.91573766 1.09067929 1.69414327]"
29,0.47800883754043166,"[1.82489039 1.73942299 1.76230084 1.2979792  2.04543685 1.40313101
 1.57269012 0.78193003 1.1397802  1.87843567 2.02892602 1.64555423
 1.24440717 2.10875415 1.06190814 1.21526118 1.93143863 1.47258684
 1.8834695  1.18544064 1.84065693 1.30257083 1.96372378 0.98802884
 1.44001914 1.17292001 2.42491938 2.16014634 1.69723129 1.8802807
 1.46926387 2.2416046  1.49234263 2.59663379 1.55629662 1.33160865
 1.79202686 1.42255697 1.73254466 1.44960743 1.06878738 1.7243378
 1.84837012 1.78970694 1.48908523 1.79835949 2.22825769 1.28144477
 1.46280463 1.10251994 1.92275693 1.46507927 1.41296919 1.77729784
 1.10797211 1.8030231  1.8593846  1.10375101 1.68933316]"
